msisdn,event_occurrence_flag,satisfaction_score,primary_tower_id
917031911578,True,20,TWR_142
917033015788,True,46,TWR_040
917033199694,False,70,TWR_107
917033599984,False,93,TWR_051
917033784640,False,54,TWR_042
917033819777,False,17,TWR_129
917033939818,True,42,TWR_232
917034227351,False,92,TWR_238
917034628465,False,28,TWR_117
917034780500,True,64,TWR_095
917034871912,False,33,TWR_033
917035121678,True,52,TWR_097
917035236295,False,89,TWR_104
917035721701,True,24,TWR_027
917035795037,True,70,TWR_130
917036157653,False,19,TWR_145
917036351450,False,70,TWR_013
917036398723,True,85,TWR_065
917036404854,True,94,TWR_419
917037811610,True,77,TWR_073
917038216544,True,65,TWR_057
917038353417,False,99,TWR_018
917039224201,False,96,TWR_043
917039262289,False,76,TWR_020
917039802179,False,2,TWR_051
917039887139,False,40,TWR_347
917039962746,True,30,TWR_036
917040009587,True,32,TWR_085
917040361651,False,99,TWR_298
917040588163,False,11,TWR_006
917041160563,True,71,TWR_063
917041209408,False,96,TWR_014
917041531046,False,44,TWR_385
917041542315,True,1,TWR_148
917041760776,True,54,TWR_007
917041842844,False,47,TWR_069
917042729398,False,13,TWR_039
917043598698,False,49,TWR_333
917044119593,False,75,TWR_009
917044325089,False,66,TWR_145
917045302356,False,55,TWR_050
917045336904,False,69,TWR_003
917045432125,True,15,TWR_081
917045490921,False,4,TWR_215
917046000830,False,82,TWR_139
917046314343,False,53,TWR_036
917047889782,False,38,TWR_030
917048521386,False,35,TWR_095
917048750473,False,26,TWR_008
917048943839,False,67,TWR_047
917049110293,True,94,TWR_004
917049116110,False,90,TWR_060
917049310608,False,44,TWR_016
917049833464,True,91,TWR_054
917050014313,False,18,TWR_024
917050766424,True,99,TWR_238
917050899550,False,97,TWR_084
917050951360,True,1,TWR_113
917051354601,False,74,TWR_249
917051373886,False,62,TWR_133
917051827414,True,12,TWR_024
917052359062,False,9,TWR_256
917052431950,False,67,TWR_134
917052679490,False,49,TWR_032
917052776893,True,90,TWR_009
917053002550,False,80,TWR_077
917053086688,True,90,TWR_055
917053102106,False,34,TWR_043
917053356336,False,24,TWR_057
917054183126,False,53,TWR_138
917054340558,True,84,TWR_159
917054395639,True,32,TWR_075
917054758244,True,5,TWR_062
917054848947,False,7,TWR_109
917054914778,False,14,TWR_160
917055395069,False,9,TWR_081
917055685277,True,72,TWR_003
917056204397,True,32,TWR_005
917057142828,False,77,TWR_039
917058731376,False,44,TWR_013
917058984033,True,6,TWR_097
917059242317,False,31,TWR_324
917059596634,True,46,TWR_049
917059780189,True,1,TWR_019
917060062145,False,44,TWR_028
917060460757,True,49,TWR_089
917060491148,True,72,TWR_073
917060623056,True,65,TWR_024
917060766757,False,66,TWR_040
917061001449,False,65,TWR_150
917061698094,False,17,TWR_001
917062293591,False,94,TWR_362
917063242750,False,6,TWR_153
917063384488,False,30,TWR_053
917063824611,True,44,TWR_017
917064485730,True,34,TWR_102
917064715310,True,62,TWR_283
917065527073,True,32,TWR_025
917065857791,False,29,TWR_043
917065917432,True,1,TWR_072
917065998711,True,90,
917067131712,True,31,TWR_062
917067198189,True,47,TWR_319
917067251004,True,91,TWR_084
917067464491,True,94,TWR_074
917067567428,True,33,TWR_045
917067779246,True,81,TWR_077
917068226613,False,2,TWR_012
917068419527,False,29,TWR_187
917069663945,True,8,TWR_121
917069759864,True,86,TWR_008
917069873508,False,55,TWR_025
917069927882,False,98,TWR_002
917070018477,True,1,TWR_262
917070516000,True,49,TWR_001
917070589284,,79,TWR_043
917071135963,False,81,TWR_021
917071455195,False,20,TWR_193
917071680424,False,13,TWR_037
917071838242,False,65,TWR_398
917072546169,True,47,TWR_024
917073626894,True,70,TWR_177
917074059253,False,91,TWR_102
917074643958,False,26,TWR_151
917075355523,False,14,TWR_124
917075893742,False,59,TWR_034
917076317824,True,39,TWR_115
917076945301,True,57,TWR_026
917076949178,False,100,TWR_083
917077870311,False,27,TWR_203
917078299575,False,89,TWR_198
917078908105,False,59,TWR_105
917078978066,False,10,TWR_093
917079900653,False,75,TWR_037
917079972435,True,25,TWR_119
917080016490,False,44,TWR_075
917080161578,False,74,TWR_032
917080395064,False,36,TWR_053
917080401162,False,92,TWR_069
917080494302,False,42,TWR_045
917080594152,,64,TWR_065
917080772905,False,24,TWR_081
917081335390,True,4,TWR_019
917081490931,True,93,TWR_038
917081621076,True,76,TWR_223
917081688824,True,95,TWR_041
917081874986,False,100,TWR_011
917081940786,True,89,TWR_022
917082140117,False,35,TWR_133
917083250566,True,76,TWR_026
917083302600,True,3,TWR_018
917083651970,True,83,TWR_326
917083880626,True,97,TWR_485
917083889094,False,17,TWR_065
917084300652,True,99,TWR_018
917084662344,False,1,TWR_049
917084790270,True,94,TWR_240
917085192104,True,36,TWR_163
917085507405,True,17,TWR_048
917085590073,False,100,TWR_137
917086124217,False,90,TWR_086
917086234365,False,4,TWR_028
917086899610,True,48,TWR_043
917087335169,False,97,TWR_221
917087531510,False,26,TWR_196
917087627095,True,76,TWR_014
917088098508,True,34,TWR_032
917089054577,False,80,TWR_070
917089101055,False,73,TWR_065
917089365072,True,36,TWR_031
917089578218,True,62,TWR_059
917090341465,False,16,TWR_004
917090513024,False,90,TWR_070
917091709704,True,18,TWR_294
917091729577,True,46,TWR_084
917092265760,False,71,TWR_075
917092292243,False,32,TWR_034
917093206686,True,40,TWR_009
917093503397,True,66,TWR_016
917093631055,True,10,TWR_008
917093702563,True,65,TWR_048
917094115188,False,20,TWR_056
917094116768,False,16,TWR_011
917094229853,False,40,TWR_003
917094646547,True,1,TWR_057
917095051435,True,18,TWR_047
917095504800,True,47,TWR_122
917096405016,True,63,TWR_010
917096551970,False,60,TWR_226
917096845709,False,15,TWR_136
917097002315,True,17,TWR_002
917097453982,False,8,TWR_322
917097647459,True,91,TWR_118
917097702405,True,26,TWR_067
917098655791,True,36,TWR_169
917099218439,False,98,TWR_084
917099541460,True,12,TWR_045
917100595644,True,13,TWR_029
917101637979,False,38,TWR_100
917101792766,True,66,TWR_013
917102018113,True,37,TWR_278
917102693781,True,0,TWR_163
917103022527,True,21,TWR_048
917103967542,True,47,TWR_044
917104855070,False,51,TWR_022
917104906255,False,74,TWR_184
917105495798,True,62,TWR_056
917106110279,True,93,TWR_013
917106456634,True,36,TWR_027
917106496266,False,1,TWR_160
917106532739,False,89,TWR_142
917106996713,True,65,TWR_069
917107052949,True,46,TWR_232
917107094028,False,86,TWR_384
917107420369,False,19,TWR_153
917107480046,False,55,TWR_124
917108543028,True,73,TWR_321
917108940146,False,70,TWR_181
917109329542,False,49,TWR_034
917110287971,False,21,TWR_122
917110533960,False,40,TWR_317
917110724913,False,0,TWR_030
917111088881,True,67,TWR_022
917111296943,True,87,TWR_135
917111506668,False,83,TWR_221
917111939600,True,44,TWR_180
917112032032,True,39,TWR_086
917112520487,True,48,TWR_147
917112759345,False,87,TWR_027
917112794026,False,1,TWR_164
917112889043,True,58,TWR_022
917113236420,True,43,TWR_038
917113971123,True,68,TWR_095
917114448659,False,72,TWR_128
917114547603,False,48,TWR_085
917114885568,False,99,TWR_040
917115170841,False,50,TWR_160
917115209930,True,100,TWR_053
917115276968,True,98,TWR_104
917115533921,True,96,TWR_076
917115603785,False,13,TWR_048
917115820025,True,86,TWR_483
917116402431,False,70,TWR_015
917117244390,False,13,TWR_001
917117470362,False,33,TWR_101
917117471169,True,66,TWR_107
917117898946,False,0,TWR_071
917118543408,True,3,TWR_053
917118988531,False,33,TWR_078
917119791902,True,80,TWR_033
917120163655,False,60,TWR_087
917120890371,True,77,TWR_129
917121064582,True,70,TWR_144
917121146276,True,40,TWR_213
917121863227,False,29,TWR_026
917122159993,False,13,TWR_083
917122712790,False,17,
917123265537,True,76,TWR_026
917123521259,False,69,TWR_035
917123579604,True,85,TWR_181
917123764767,True,36,TWR_153
917123993296,True,48,TWR_136
917124015059,True,97,TWR_135
917124327519,False,59,TWR_052
917124331395,False,70,TWR_048
917124352982,False,2,TWR_142
917124522637,True,51,TWR_217
917124660666,True,48,TWR_342
917124834191,False,94,TWR_019
917125058196,True,70,TWR_006
917125163384,True,40,TWR_005
917125379850,False,51,TWR_077
917125666952,True,84,TWR_453
917125857393,True,85,TWR_227
917126084156,True,50,TWR_223
917126555049,True,25,TWR_028
917126625486,False,99,TWR_045
917126630005,True,86,TWR_071
917127241247,True,63,TWR_003
917127661542,True,84,TWR_174
917127830795,False,3,TWR_136
917127978094,False,65,TWR_097
917129983470,False,79,TWR_211
917130076950,False,13,TWR_048
917131267917,False,40,TWR_025
917131671246,False,9,TWR_252
917132367258,True,83,TWR_141
917132545712,True,84,TWR_006
917133114792,True,29,TWR_123
917133272825,True,66,TWR_007
917133496549,True,84,TWR_026
917133747952,False,62,TWR_117
917133790981,True,85,TWR_058
917133887735,False,50,TWR_283
917133937440,True,98,TWR_394
917133978190,False,22,TWR_283
917134319747,True,6,TWR_422
917134917627,True,22,TWR_222
917135594311,True,7,TWR_099
917135714617,False,48,TWR_031
917135842149,False,48,TWR_089
917136083924,False,8,TWR_216
917136300252,False,96,TWR_176
917136309890,True,81,TWR_485
917136505587,False,77,TWR_255
917136653625,True,15,TWR_142
917137310137,True,90,TWR_033
917137845240,True,43,TWR_003
917137869475,True,78,TWR_026
917138372291,True,40,TWR_033
917138424884,True,19,TWR_055
917138428506,True,0,TWR_194
917138754863,True,28,TWR_004
917139082827,False,43,TWR_094
917139093888,True,77,TWR_031
917139294754,True,97,TWR_007
917139855492,False,86,TWR_022
917140047655,False,6,TWR_047
917140187131,True,65,TWR_068
917140424329,True,20,TWR_032
917140506321,False,98,TWR_116
917140515379,True,30,TWR_015
917140843630,False,22,TWR_062
917141131770,True,47,TWR_041
917141312095,False,59,TWR_015
917142039044,True,15,TWR_052
917142122736,True,22,TWR_016
917143299564,False,95,TWR_191
917143506818,True,64,TWR_127
917143717638,True,89,TWR_120
917143925622,False,31,TWR_156
917144208994,True,40,TWR_012
917144351055,True,70,TWR_089
917144399177,True,100,
917145271935,False,26,TWR_146
917145520719,False,16,TWR_035
917146208285,False,88,TWR_128
917148818209,,48,TWR_024
917148876024,True,50,TWR_053
917148988494,True,91,TWR_040
917149157745,True,61,TWR_210
917149460439,False,2,TWR_434
917149505352,True,25,TWR_050
917149726408,False,28,TWR_030
917150989488,True,58,TWR_023
917151693971,False,73,TWR_009
917151725037,False,23,TWR_073
917151885397,False,84,TWR_029
917152721525,False,67,TWR_021
917153323006,True,63,TWR_063
917153896961,False,1,TWR_021
917153931824,False,56,TWR_107
917154027191,False,47,TWR_054
917154185462,True,49,TWR_100
917154537730,False,25,TWR_040
917154739678,False,73,TWR_094
917154881394,False,76,TWR_290
917156078445,False,32,TWR_019
917156991958,True,100,TWR_041
917157284993,False,69,TWR_088
917157437641,False,100,TWR_007
917157612991,True,79,TWR_055
917157715720,False,32,TWR_256
917157905153,True,73,TWR_043
917158388381,False,81,TWR_019
917158785695,True,83,TWR_064
917158844179,True,1,TWR_047
917158929824,True,93,TWR_065
917158987731,False,83,TWR_136
917158998032,False,36,TWR_057
917159097113,True,1,TWR_030
917159316365,True,74,TWR_237
917159824875,False,4,TWR_066
917160194739,True,36,TWR_003
917160474695,True,37,TWR_029
917160509766,True,39,TWR_122
917160535661,True,2,TWR_089
917160610438,False,79,TWR_043
917160913827,False,77,TWR_035
917160916026,False,66,TWR_096
917161521910,True,57,TWR_017
917161581876,False,38,TWR_032
917162028997,True,0,TWR_014
917162076186,False,33,TWR_051
917162124225,True,100,TWR_148
917162157936,True,70,TWR_019
917162502787,False,31,TWR_460
917162629078,True,25,TWR_291
917162720486,False,74,TWR_004
917163053047,True,60,TWR_025
917164313410,False,31,TWR_099
917164510971,False,10,TWR_035
917165407669,True,43,TWR_140
917166320906,True,0,TWR_136
917166569717,True,96,TWR_079
917167134213,True,96,TWR_016
917167660765,False,6,TWR_006
917168114160,True,12,TWR_088
917168323465,False,62,TWR_175
917168584421,False,16,TWR_082
917168926124,False,32,TWR_139
917169246232,True,67,TWR_467
917169318686,True,19,TWR_005
917169412921,,76,TWR_303
917169602003,False,82,TWR_030
917169855455,True,7,TWR_186
917170689150,False,10,TWR_067
917170735270,True,17,TWR_008
917171055058,True,41,TWR_023
917171200764,False,78,TWR_007
917171271484,False,69,TWR_036
917171347175,False,81,TWR_028
917171389355,False,40,TWR_107
917171543543,False,15,TWR_046
917172050713,False,66,TWR_065
917172146239,True,60,TWR_015
917172793727,False,59,TWR_101
917172893522,False,0,TWR_025
917172907376,True,1,TWR_067
917173010491,False,44,TWR_040
917173215225,False,61,TWR_108
917173601852,True,24,TWR_045
917173680280,False,4,TWR_134
917174412453,True,33,TWR_158
917174522691,True,11,TWR_092
917174603960,True,22,TWR_157
917174800445,False,97,TWR_094
917175199056,False,80,TWR_044
917175553937,True,77,TWR_047
917176169319,False,41,TWR_010
917176191212,False,44,TWR_009
917176390590,False,2,TWR_111
917176630466,True,21,TWR_431
917176744138,,21,TWR_002
917176876436,True,74,TWR_069
917176928180,True,64,TWR_073
917178715833,False,39,TWR_258
917179414276,True,49,TWR_044
917179642495,True,35,TWR_135
917179653598,True,51,TWR_072
917179984654,True,37,TWR_020
917180257367,False,35,TWR_067
917180360149,False,63,TWR_093
917180674181,True,30,TWR_348
917181187132,False,51,TWR_088
917181386633,True,92,TWR_111
917181388972,False,65,TWR_058
917181518732,True,54,TWR_097
917181686832,True,10,TWR_023
917181914018,True,11,TWR_090
917182174975,True,96,TWR_026
917182608864,True,44,TWR_152
917182758417,True,41,TWR_020
917183291591,True,6,TWR_102
917183379287,True,8,TWR_030
917183860832,True,16,TWR_274
917183887017,True,59,TWR_075
917185180108,True,60,TWR_209
917185303518,True,66,TWR_308
917185892639,True,81,TWR_035
917186047172,True,90,TWR_185
917186251406,False,76,TWR_244
917186566008,True,51,TWR_004
917186618211,False,76,TWR_158
917186753800,False,88,TWR_257
917186978937,False,56,TWR_263
917187463722,False,22,TWR_099
917187657564,True,67,TWR_072
917188021892,True,96,TWR_123
917188146518,False,26,TWR_065
917188321417,True,90,TWR_169
917188341455,False,81,TWR_010
917188550198,False,8,TWR_114
917188575177,False,43,TWR_019
917189107235,False,67,TWR_076
917189141363,False,85,TWR_256
917189351213,False,36,TWR_001
917189675018,False,80,TWR_030
917189941491,False,65,TWR_283
917189995314,True,46,TWR_130
917190252832,False,61,TWR_225
917190420322,True,46,TWR_052
917190638698,False,96,TWR_066
917191628232,False,32,TWR_037
917191909783,True,82,TWR_299
917191912243,True,9,TWR_124
917192747606,False,16,TWR_028
917193681143,False,90,TWR_006
917193782303,False,58,TWR_271
917194314620,False,50,TWR_045
917194384710,True,69,TWR_099
917194518221,False,21,TWR_039
917194576436,False,10,TWR_015
917194763060,True,46,TWR_024
917195066088,False,14,TWR_086
917195256953,False,43,TWR_028
917195387472,False,43,TWR_038
917195472006,False,93,TWR_081
917195488441,True,93,TWR_071
917195493385,True,46,TWR_004
917195792723,True,86,TWR_287
917196346343,,52,TWR_041
917196358835,False,84,TWR_008
917196615480,True,4,TWR_020
917196716790,True,21,
917196794154,True,79,TWR_146
917196814233,True,29,TWR_104
917197092148,False,85,TWR_033
917197261797,True,75,TWR_044
917197323378,True,1,TWR_055
917197449658,True,86,TWR_166
917197489159,True,25,TWR_067
917197529702,False,82,TWR_007
917198168828,False,86,TWR_371
917198486416,True,40,TWR_161
917199447370,True,48,TWR_114
917199717518,True,8,TWR_098
917199982132,False,9,TWR_238
917200473425,False,4,TWR_131
917201365642,False,89,TWR_181
917201777040,False,83,TWR_185
917202075345,False,61,TWR_110
917202363285,True,23,TWR_010
917203233294,True,94,TWR_280
917204145636,True,66,TWR_036
917204909902,False,57,TWR_173
917204991360,False,15,TWR_130
917205011109,False,36,TWR_340
917205082311,False,97,TWR_188
917205316740,True,25,TWR_369
917205988231,True,38,TWR_118
917206791755,True,5,TWR_122
917207167992,False,13,TWR_185
917207916194,False,63,TWR_070
917208367732,False,98,TWR_090
917208613457,True,31,TWR_019
917208679403,True,57,TWR_102
917208954648,True,4,TWR_161
917208985103,True,82,TWR_109
917209063208,False,48,TWR_058
917209088658,True,0,TWR_339
917209228923,True,11,TWR_088
917210104660,False,17,TWR_193
917210241300,True,20,TWR_156
917210588114,True,4,TWR_012
917210643427,True,31,TWR_016
917210821160,True,61,TWR_069
917211703120,True,28,TWR_299
917211722336,False,22,TWR_331
917211789542,True,79,TWR_259
917213168097,False,2,TWR_020
917213182609,True,45,TWR_007
917213249628,False,89,TWR_097
917213728259,True,75,TWR_061
917213816205,False,16,TWR_037
917214567941,False,59,TWR_021
917215092803,False,5,TWR_047
917215359682,False,22,TWR_138
917215686308,True,15,TWR_104
917215970859,True,55,TWR_006
917216254664,True,32,TWR_026
917216561008,True,11,TWR_038
917216706931,True,35,TWR_073
917216980930,False,17,TWR_002
917217069388,False,28,TWR_065
917217150457,False,93,TWR_079
917217233051,False,78,TWR_213
917217275224,False,72,TWR_014
917217348079,False,86,TWR_004
917217487269,False,47,TWR_018
917217867296,False,87,TWR_021
917218035843,True,91,TWR_094
917218179599,True,9,TWR_300
917218422454,False,17,TWR_130
917218709107,True,44,TWR_234
917219720597,True,7,TWR_039
917220376885,True,29,TWR_027
917220568746,True,20,TWR_010
917220661337,False,28,TWR_145
917220959215,False,92,TWR_268
917221348142,False,79,TWR_135
917221459606,False,21,TWR_118
917221670908,False,81,TWR_156
917221705700,True,11,TWR_032
917222424647,True,11,TWR_399
917223565082,True,58,TWR_037
917223705953,True,36,TWR_096
917223714148,False,80,TWR_401
917223762723,False,28,TWR_330
917223821957,True,95,TWR_170
917224110541,False,80,TWR_212
917224908174,False,65,TWR_116
917225052083,True,11,TWR_022
917225299266,False,38,TWR_170
917225447588,False,17,TWR_042
917225585432,False,40,TWR_160
917225953184,True,6,TWR_045
917226225156,False,95,TWR_052
917226663762,True,73,TWR_003
917226999410,True,83,TWR_098
917227093741,False,17,TWR_122
917227153651,True,84,TWR_161
917227912437,True,17,TWR_005
917227929714,False,71,TWR_034
917227999411,False,44,TWR_143
917228180081,True,84,TWR_127
917228587581,False,5,TWR_016
917228736604,False,43,TWR_003
917230020161,True,77,TWR_006
917230249217,False,74,TWR_063
917230258601,True,17,TWR_001
917230540762,False,39,TWR_066
917230624431,True,84,TWR_038
917231068718,False,16,TWR_034
917231078662,True,51,TWR_005
917231178500,True,75,TWR_120
917232046822,,43,TWR_124
917232194392,False,51,TWR_019
917232477787,False,65,TWR_113
917232564616,False,20,TWR_055
917232663462,False,8,TWR_050
917232804774,True,38,TWR_015
917233079614,False,96,TWR_054
917233110260,True,84,TWR_408
917233327459,True,70,TWR_029
917233385755,True,83,TWR_056
917233595980,False,89,TWR_060
917233903914,False,5,TWR_050
917234096568,False,65,TWR_228
917234187462,True,48,TWR_012
917234238999,True,22,TWR_069
917234276135,True,79,TWR_004
917234359689,False,33,TWR_153
917234364203,True,43,TWR_099
917234372626,True,10,TWR_156
917234815930,False,74,TWR_035
917235286733,False,37,TWR_319
917235414339,False,99,TWR_041
917236346130,True,17,TWR_152
917236367679,True,70,TWR_030
917236497814,False,70,TWR_045
917237059301,False,54,TWR_030
917237628826,True,44,TWR_010
917237996376,False,72,TWR_117
917238109164,True,36,TWR_033
917238521095,False,14,TWR_068
917238953970,False,8,TWR_010
917239389148,True,55,TWR_223
917240125829,True,16,TWR_142
917240140248,True,41,TWR_130
917240186197,False,27,TWR_126
917240197763,True,48,TWR_015
917240251661,False,56,TWR_058
917240613868,False,8,TWR_103
917240682864,True,37,TWR_011
917240722665,False,58,TWR_046
917240752042,False,77,TWR_092
917241011818,False,51,TWR_118
917241030242,False,74,TWR_356
917241239647,False,58,TWR_008
917241257421,True,15,TWR_014
917241402174,False,91,TWR_044
917242425303,True,68,TWR_169
917242447651,False,96,TWR_134
917243115672,True,1,TWR_145
917243845356,False,4,TWR_326
917244295904,False,94,TWR_165
917244305931,False,46,TWR_087
917244340918,False,87,TWR_111
917245522987,True,99,TWR_092
917246351029,False,25,TWR_059
917246801831,False,70,TWR_011
917247492925,True,79,TWR_080
917247508299,False,15,TWR_010
917247977570,False,91,TWR_149
917248291317,True,29,TWR_019
917248704157,False,63,TWR_003
917248786714,True,37,TWR_077
917249166485,True,4,TWR_050
917249900899,False,81,TWR_097
917250396691,False,31,TWR_130
917251183830,False,1,TWR_148
917251300243,True,70,TWR_092
917251647421,False,9,TWR_067
917251837136,True,28,TWR_040
917251884343,True,54,TWR_077
917252252252,True,84,TWR_073
917252339280,True,24,TWR_023
917252860896,True,4,TWR_007
917254101373,True,99,TWR_012
917254542263,True,32,TWR_063
917254630933,True,13,TWR_066
917254939955,False,16,TWR_121
917255790920,False,28,TWR_070
917256143439,False,86,TWR_077
917256202202,False,82,TWR_129
917256732224,False,93,TWR_043
917257189761,True,80,TWR_032
917257247382,True,100,TWR_084
917257324536,True,59,TWR_015
917257464979,True,98,TWR_244
917257616339,False,34,TWR_142
917257854279,False,15,TWR_071
917257922823,False,3,TWR_023
917257949939,True,4,TWR_087
917258170698,True,34,TWR_026
917258687184,True,51,TWR_112
917258795967,True,57,TWR_058
917259631271,True,48,TWR_012
917259711746,True,22,TWR_048
917260060661,False,44,TWR_135
917260329455,False,49,TWR_034
917260705324,False,23,TWR_108
917260724636,True,22,TWR_278
917261243105,False,3,TWR_048
917261810763,True,48,TWR_059
917261811056,True,83,TWR_145
917261903104,False,47,TWR_021
917261923195,True,77,TWR_048
917263787271,False,62,TWR_310
917263813981,True,95,TWR_084
917264004471,True,59,TWR_022
917264064129,True,2,TWR_026
917264739091,False,11,TWR_070
917264867118,,7,
917265248799,False,78,TWR_087
917265745534,False,57,TWR_134
917266329625,False,37,TWR_001
917266428954,True,11,TWR_047
917266821961,False,90,TWR_125
917267119789,False,15,TWR_010
917267429212,True,39,TWR_156
917267496095,True,43,TWR_059
917267502879,True,57,TWR_095
917267951754,True,98,TWR_092
917268051302,True,74,TWR_122
917268709250,False,68,TWR_068
917269754673,False,77,TWR_012
917269986628,True,32,TWR_052
917270366110,True,3,TWR_105
917270551270,True,7,TWR_060
917271014739,True,72,TWR_091
917271055863,True,90,TWR_080
917271515109,,47,TWR_166
917271535964,True,67,TWR_076
917271603383,False,9,TWR_019
917271730355,False,50,TWR_131
917272003213,True,20,TWR_107
917272026241,False,8,TWR_082
917272050780,False,24,TWR_485
917272168566,True,0,TWR_025
917272775822,False,35,TWR_024
917272849424,True,42,TWR_077
917272979685,False,42,TWR_068
917273081311,True,34,TWR_127
917273441616,False,0,TWR_131
917273846739,False,30,TWR_123
917273986261,False,25,TWR_007
917274178050,False,91,TWR_052
917274328104,False,29,TWR_251
917274695850,True,36,TWR_158
917274989148,True,34,TWR_386
917275223478,True,17,TWR_083
917275860817,False,68,TWR_041
917276714124,True,21,TWR_002
917276905285,True,22,TWR_017
917277929117,False,25,TWR_008
917278854464,False,88,TWR_020
917278911214,True,97,TWR_095
917280405602,True,9,TWR_161
917280647907,True,98,TWR_047
917280741389,False,96,TWR_013
917281199333,False,49,TWR_028
917281321374,True,11,TWR_106
917281822724,False,68,TWR_038
917281868383,False,25,TWR_181
917282103057,True,87,TWR_001
917282385977,True,95,TWR_125
917283089268,True,57,TWR_044
917283725262,True,69,TWR_083
917283962143,False,36,TWR_030
917283965102,True,72,TWR_157
917284053367,False,92,TWR_020
917284277889,False,12,TWR_157
917284382838,True,55,TWR_134
917284530257,True,5,TWR_063
917285045092,False,41,TWR_014
917286035346,False,30,TWR_047
917286387753,False,70,TWR_117
917286580954,True,96,TWR_184
917287788210,False,20,TWR_009
917287814151,False,60,TWR_117
917288335378,False,50,TWR_055
917288511612,False,4,TWR_081
917288765093,False,10,TWR_024
917288921483,True,2,TWR_036
917289012242,False,55,TWR_154
917289320836,False,38,TWR_039
917289482182,True,80,TWR_181
917290050198,False,66,TWR_017
917290143353,False,13,TWR_044
917290166087,False,93,TWR_034
917290187466,True,49,TWR_219
917290626163,True,10,TWR_182
917290680473,True,35,TWR_014
917291176364,False,47,TWR_027
917291259085,True,43,TWR_485
917291353679,True,58,TWR_269
917291851443,False,30,TWR_059
917291889680,True,75,TWR_020
917291920078,False,38,TWR_012
917292815703,True,33,TWR_293
917293039905,False,33,TWR_087
917293287259,True,24,TWR_149
917293505358,False,67,TWR_052
917293825615,False,25,TWR_158
917293864877,True,62,TWR_017
917294050451,True,48,TWR_059
917294296873,True,7,TWR_205
917294678352,True,29,TWR_023
917294708501,False,41,TWR_103
917294713656,False,86,TWR_004
917295456419,True,96,TWR_114
917295678014,True,94,TWR_002
917295822679,True,45,TWR_072
917296036788,True,90,TWR_094
917296166921,True,76,TWR_021
917296434961,True,45,TWR_005
917297034217,False,42,TWR_188
917297265480,True,78,TWR_073
917298064202,True,17,TWR_015
917298159856,True,78,TWR_206
917298737106,False,77,TWR_023
917298848935,False,20,TWR_022
917298867122,True,84,TWR_012
917298962512,False,15,TWR_138
917298969045,False,23,TWR_016
917299826879,False,69,TWR_037
917299832023,True,81,TWR_083
917300535210,False,74,TWR_015
